                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 0.7799,                0.53056,                 1.1004,                0.64799,                0.55355,                0.61492,                0.32975,                 1.7922,                 1.6486,                 2.0903,               0.002575,               0.002575,               0.002575
                     77,                0.78854,                0.52586,                  1.089,                0.79385,                0.54045,                0.62082,                0.32721,                 1.8116,                 1.6654,                 2.1226,               0.002476,               0.002476,               0.002476
                     78,                0.79348,                0.52581,                 1.0997,                0.68302,                0.61057,                0.63058,                0.33414,                 1.7925,                 1.6378,                 2.0987,               0.002377,               0.002377,               0.002377
                     79,                0.79357,                0.53306,                 1.0913,                0.61665,                0.64374,                0.64686,                0.34445,                 1.7868,                 1.5583,                 2.0735,               0.002278,               0.002278,               0.002278
                     80,                0.79161,                0.51528,                 1.0907,                0.60276,                0.66745,                0.63676,                0.34963,                  1.792,                 1.5717,                 2.0556,               0.002179,               0.002179,               0.002179
                     81,                0.76577,                0.51405,                 1.0773,                0.64522,                0.57564,                0.62338,                0.34394,                 1.7447,                 1.5807,                 2.0192,                0.00208,                0.00208,                0.00208
                     82,                0.75389,                0.49789,                 1.0603,                0.63753,                0.60351,                0.60886,                0.34156,                 1.7543,                 1.6129,                 2.0423,               0.001981,               0.001981,               0.001981
                     83,                0.75614,                0.52604,                 1.0867,                0.66367,                0.59215,                 0.6232,                0.33995,                 1.7736,                 1.6333,                 2.0575,               0.001882,               0.001882,               0.001882
                     84,                0.76166,                0.51653,                 1.0811,                0.59487,                0.58763,                0.60668,                0.31823,                 1.7725,                 1.6631,                 2.0453,               0.001783,               0.001783,               0.001783
                     85,                0.76181,                 0.5122,                  1.083,                0.68947,                0.60766,                0.62639,                0.32226,                 1.7814,                 1.6429,                 2.0511,               0.001684,               0.001684,               0.001684
                     86,                0.73288,                0.49818,                  1.068,                0.63451,                0.57486,                0.60996,                0.33625,                 1.7636,                 1.6887,                 2.0434,               0.001585,               0.001585,               0.001585
                     87,                0.74535,                0.51082,                 1.0671,                0.64825,                0.61481,                0.62806,                0.33797,                 1.7507,                 1.6619,                 2.0416,               0.001486,               0.001486,               0.001486
                     88,                0.73837,                0.49329,                 1.0719,                0.59423,                0.62198,                0.61588,                0.33058,                 1.7791,                 1.6938,                 2.0662,               0.001387,               0.001387,               0.001387
                     89,                0.73647,                0.49457,                 1.0543,                0.59699,                0.63105,                0.60713,                0.33015,                 1.7979,                 1.7255,                 2.0686,               0.001288,               0.001288,               0.001288
                     90,                0.67586,                0.43077,                 1.0381,                0.62221,                0.54743,                0.58264,                0.31425,                 1.7572,                 1.7357,                 2.0318,               0.001189,               0.001189,               0.001189
                     91,                0.68349,                 0.4219,                 1.0464,                0.64949,                 0.5954,                0.59762,                0.31987,                 1.7403,                 1.6717,                 2.0252,                0.00109,                0.00109,                0.00109
                     92,                0.67874,                0.41929,                 1.0422,                0.63404,                0.59788,                0.60272,                0.31688,                 1.7372,                 1.6552,                 2.0461,               0.000991,               0.000991,               0.000991
                     93,                0.66754,                0.40503,                 1.0296,                0.65165,                0.60984,                 0.6223,                 0.3345,                 1.7516,                   1.61,                 2.0652,               0.000892,               0.000892,               0.000892
                     94,                0.66782,                0.40746,                 1.0278,                0.63532,                0.63382,                0.61448,                0.32399,                 1.7725,                 1.6144,                 2.0857,               0.000793,               0.000793,               0.000793
                     95,                0.62849,                0.38823,                 1.0145,                0.65544,                0.61591,                0.61906,                0.32721,                  1.774,                  1.656,                 2.0791,               0.000694,               0.000694,               0.000694
                     96,                0.62736,                0.38053,                0.99795,                0.63604,                0.62469,                0.62311,                0.33444,                 1.7571,                 1.6238,                 2.0614,               0.000595,               0.000595,               0.000595
                     97,                0.63265,                0.38912,                 1.0101,                0.62796,                0.62603,                0.61643,                0.33929,                 1.7254,                 1.6596,                  2.038,               0.000496,               0.000496,               0.000496
                     98,                 0.6128,                0.38252,                0.99602,                0.63757,                0.62454,                0.61792,                0.33643,                 1.7306,                  1.664,                 2.0461,               0.000397,               0.000397,               0.000397
                     99,                 0.6105,                0.38154,                0.99788,                0.64403,                  0.625,                0.61461,                 0.3311,                 1.7432,                 1.6405,                 2.0576,               0.000298,               0.000298,               0.000298
